global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
5312.541762494221	n/a	n/a	28223099.978245206	13741.733756079033	n/a	n/a	188835246.622962	5149.140279134114	n/a	n/a	26513645.614201345	6564.576322893133	6959.995185207762	n/a	n/a	n/a	n/a	-0.0752482577	-0.1524994319	0.093270281	-0.2253918184	0.125910498	-0.4090313024	0.1418444384	-0.5425712771	-0.0678611278	0.091128394	-0.1011405431	-0.0018232276	0.0895487024	-0.0450787438	0.2402942118	-0.0177953652	0.0447642809	-0.0516224647	0.0433651832	-0.0895268291	0.1809453978	-0.1632586224	0.1921773153	-0.1506565665	0.0815474323	-0.001209975	0.0564201312	0.2020082786	-0.0063708401	-0.0583673843	0.1133880988	-0.0784096467	0.178013508	-0.0898022999	-0.048375557	-0.0687632497	0.0625608006	-0.0041143201	-0.0674280918	-0.0728540714	0.0693999206	-0.001698761	-0.0376160112	-0.0102082696	0.090659354	0.0275952028	0.0335369422	-0.1916222213	0.0569712624	-0.0726491029	0.113208473	-0.0112948496	0.4228946665	-0.3717793649	-0.4014354117	0.0683764895	-0.1307787876	0.1558738912	-0.1718460366	0.0328401973	-0.0660733494	0.078954766	-0.1019565585	0.0292385261	-0.0447360625	0.0774992701	-0.1710443258	0.0398409679	-0.101108422	0.0037002557	0.0283274813	-0.0671575451	0.0873514558	-0.0089492014	-0.0323398349	0.0248163959	0.0484351186	-0.0885350125	0.037261278	-0.336220894	0.1214047439	-0.3100843007	0.0659832627	-0.0655793899	0.0380737882	-0.1175878897	0.0716926238	-0.0048736133	0.0876463149	-0.2505612972	0.0881157492	-0.1059154583	-0.0807716873	0.1452180604	-0.0960608804	0.0102725102	-0.0254714627	0.003289815	-0.0729167778	0.0092398903	0.1269899372	0.1269593695	0.1269084288	0.1268371232	-0.0100371032927313	n/a	n/a	0.0001007434425089	0.0047404207142136	n/a	n/a	2.247158854774538e-05	-0.1819578699503807	n/a	n/a	0.0331086664368796	-0.002719373566263	n/a	n/a	7.394992592889946e-06	-0.0004702719480229	n/a	n/a	2.2115570509725321e-07	0.0005668614457917	n/a	3.213318987250565e-07	n/a	0.0	0.0	0.0
5296.21545211649	-16.326310377730806	266.5484105500006	28049898.11523748	13578.875114375336	-162.85864170369678	26522.937177573083	184385849.3718018	5150.50670602934	1.366426895226141	1.867122459997351	26527719.328853205	6534.990361537755	6821.434396239826	1.257452	29.542768	0.1287872404358798	0.0746035566224631	-0.0734562986	-0.1112242962	-0.0691424492	-0.1397863169	0.0958307781	-0.2937436195	0.1080783417	-0.1250167215	-0.0458072665	0.0082891702	-0.0439060345	-0.126298189	0.016078507	-0.0992446659	0.1687216832	0.0290749233	0.1199347107	0.0150748858	-0.0533381324	0.0095276008	0.053540257	-0.0867091643	0.1274965735	-0.0913373438	-0.0142959381	0.0490184811	-0.1236276127	-0.1351779826	0.2323032909	0.0396377184	0.0392025723	-0.1085677245	0.03190298	0.0949882342	0.0132848551	-0.061333801	-0.0536431098	-0.0457964472	0.0230892789	-0.159505186	0.0129736529	-0.0142828968	0.0084918673	-0.0333017837	-0.0151655427	-0.0321748517	-0.0279832076	-0.130190015	0.0383102336	-0.1010750383	0.1787957858	-0.0564638707	0.2421065799	-0.1646975488	-0.050160964	0.0273777922	-0.0869551535	0.0553173229	0.027226458	-0.1142217072	0.1458598923	-0.2230555491	0.087224059	0.1006958377	0.0386751105	0.1115038343	0.0769802262	-0.068572188	0.1943177778	-0.0423167445	-0.0002208127	0.0217455793	0.0261164215	0.0825947089	0.069660783	-0.0537837337	0.0414322541	-0.1410977633	-0.003182318	-0.2003423991	0.1018878733	-0.2456092762	0.1832047455	-0.0868209012	-0.0216535231	0.0926674966	0.0470692795	-0.1092786177	-0.0209678115	-0.0592885629	-0.0579800513	-0.2491285464	-0.0146330076	0.0095995126	0.0796546297	0.0442455626	0.0636473963	0.1500493071	0.0364252931	0.0131862218	0.1269084288	0.1266334666	0.1261756376	0.1255356027	-0.0061168961225632	0.003920207170168	1.5368024257037377e-05	3.741641817422871e-05	-0.0003158122934792	-0.0050562330076928	2.5565492228082177e-05	9.973740471259235e-08	-0.1094696548471318	0.0724882151032489	0.0052545413288548	0.0119836053323501	-0.0020239141568481	0.0006954594094148	4.836637901437212e-07	4.096228514290155e-06	-0.000280135228307	0.0001901367197159	3.615197218432273e-08	7.8475746138615e-08	0.0006277170197563	6.085557396459998e-05	3.940286568917312e-07	3.703400882560899e-09	0.0	0.0	0.0
5292.985667721812	-3.229784394678063	10.431507236105942	28015697.27870852	13444.885175557396	-133.98993881794013	17953.30370443534	180764937.38392305	5153.618760405994	3.1120543766537594	9.68488244324982	26559786.32760861	6512.420961400863	6765.031253036448	1.103132	25.91717	0.1026507684215901	0.0454395853495429	-0.0681374645	-0.0648424333	-0.1172727388	-0.0761742336	-0.0032640987	-0.126563361	-0.0263913251	-0.0163803757	-0.0317594756	-0.0178066704	-0.0243198662	-0.1453973074	-0.0044904568	-0.1519953802	0.2338355228	0.0213739998	-0.1140094152	0.1575050414	0.01103435	0.0562699546	-0.0231203005	0.2627397067	-0.0116153579	0.0608380582	-0.0932847253	0.0997544474	-0.102511944	-0.0631398056	0.0872893949	-0.0460034827	-0.0623270617	-0.1356075943	0.0980215566	0.0343026511	0.0221712147	0.0074692174	-0.0675478106	-0.0259538568	-0.0373627175	-0.0589735424	-0.0394811235	-0.0641584338	0.0667269054	-0.0974019941	-0.0623397559	0.0093763708	-0.014303576	-0.0696038439	0.0037930837	0.0200753885	0.1700638784	-0.1036737292	0.1002743609	-0.0711311757	0.1319148241	-0.03468387	0.124101303	0.0066562246	0.0408482518	0.0620941589	-0.0867353451	-0.0056557349	0.2267343193	0.1461949307	0.1244663775	-0.2166795435	0.025867648	0.0418858827	0.0877223764	-0.0192507013	0.0637492158	0.1706122699	-0.0724565387	0.0237191327	0.0612530179	-0.055990554	-0.0185354662	-0.1048252503	-0.0589455725	-0.1588415822	0.0009812225	-0.146937945	0.2113886662	-0.0299509341	0.0142105831	-0.0966805198	-0.0328119254	-0.0541592793	0.1183368022	0.0174378721	0.0833492295	0.047227465	-0.0499721103	-0.1380936197	-0.0078651814	-0.002024648	-0.0411090387	0.1232790595	0.0390269494	-0.0389798209	0.1267454643	0.1259824975	0.1247142864	0.122945917	-0.0037706980568827	0.0023461980656805	5.504645363402922e-06	1.4218163836178968e-05	-0.0282862207322551	-0.0279704084387759	0.0007823437482319	0.0008001102833138	-0.0773311337212163	0.0321385211259154	0.0010328845401609	0.0059801042426086	-0.0016099909374625	0.0004139232193856	1.7133243154653958e-07	2.5920708187113797e-06	-3.388959193273422e-05	0.0002462456363742	6.063691343336711e-08	1.1485044413672444e-09	0.0004839730596918	-0.0001437439600644	2.3422992250744265e-07	2.0662326055024562e-08	0.0	0.0	0.0
5283.425509928955	-9.560157792857352	91.39661702433118	27914585.11896804	13390.898001334728	-53.98717422266782	2914.6149805486884	179316149.28215042	5151.805592104385	-1.8131683016090392	3.287579289959808	26541100.85883801	6500.732782944053	6656.171040831601	1.179274	27.706049	0.0427723992324546	0.0255631766605992	-0.0881387291	-0.0219308337	-0.0289008943	-0.0647012321	-0.0192958214	-0.0178286865	-0.0568737074	-0.0106293555	-0.0426094702	0.0230989596	-0.0194313247	-0.0706060735	0.014832424	0.0670048076	0.1624927859	0.1128271294	-0.1154692144	0.2281529765	-0.071130054	0.038539799	0.0093326376	-0.002641876	0.1088726464	0.0651233993	-0.1394209834	-0.0346270736	-0.0380517411	0.0251377121	-0.2973434252	-0.0827855946	-0.1311026061	-0.0710423326	0.0492205785	-0.0868155846	0.0594433257	-0.1965134495	-0.0568367829	0.0707728724	-0.0613834724	0.0852063911	0.0093182476	0.1007162923	-0.0792375968	0.1499210501	-0.0783870279	-0.0069020513	0.1292345183	-0.071643751	0.0057948442	0.0154414322	0.0377385923	-0.1183008874	-0.0392351956	-0.2028435412	0.0734560234	-0.0812984082	0.0302220085	0.0681905866	0.0380752232	0.1530654092	-0.125305231	0.1549023297	0.0519930198	0.0102530843	-0.0020107573	-0.2988816213	0.2795355011	-0.0142519387	-0.0859607365	-0.1008134672	0.0055304102	0.011716038	-0.0388681281	0.0595264316	-0.0684337063	-0.0474469114	-0.0746010856	-0.0161517164	-0.0195361093	-0.169967324	-0.0922184982	-0.1362316412	0.0843296613	-0.0558555365	0.0644317082	-0.0859042783	0.0198266009	0.0317087129	0.1803811276	-0.0188484469	-0.0511062526	0.0490192169	0.0160327805	-0.1693487967	0.0209825844	-0.0202931486	-0.1925824932	-0.1396288297	0.0038252124	-0.0565768526	0.1265011483	0.125008133	0.1225328133	0.1190946399	-0.0040734582420327	-0.0003027601851499	9.166372971206225e-08	1.659306204958413e-05	-0.0051844605058022	0.0231017602264529	0.0005336913255605	2.68786307362228e-05	-0.086347029152165	-0.0090158954309486	8.128637042180145e-05	0.0074558094434048	-0.0016260089799637	-1.6018042501200064e-05	2.565776855702516e-10	2.6439052029225923e-06	4.619671164962647e-05	8.008630358236069e-05	6.413816021486037e-09	2.134136167238734e-09	0.0003730377379773	-0.0001109353217145	1.391571539552207e-07	1.2306645603899622e-08	0.0	0.0	0.0
5280.38982648234	-3.035683446614712	9.215373988050578	27882516.7196182	13333.063362536936	-57.83463879779265	3344.8454448711427	177770578.62942472	5143.057983648581	-8.747608455803856	76.52065369605113	26451045.42317141	6486.120039515381	6644.320200738301	1.054372	24.771593	0.1336748930037863	0.0740666039155746	-0.0819294043	0.0062853595	0.0212914456	-0.0169721629	-0.0822658306	0.0579973565	0.0497047437	0.0562020817	-0.0027740286	0.0494846395	-0.0607724141	-0.011653304	0.0038816693	0.0257703033	0.0304766613	0.0205385258	0.0588960926	-0.0191820843	-0.0227414235	0.1625597442	-0.0003657721	-0.1169930833	-0.0467584458	-0.0259346438	-0.1332161091	-0.0385259003	0.0954445665	0.0709536239	-0.005942745	0.0425870488	-0.0861259876	0.1132843242	-0.0403293187	0.1437157997	0.0484829863	-0.1140991991	0.0322053343	0.122613446	-0.1245008812	0.0976676704	-0.0687130212	-0.0265137788	-0.1384717778	-0.1060792471	-0.0583087671	-0.1075434864	-0.2029967613	-0.0516767776	-0.0198486113	-0.0611923463	-0.0374722361	-0.0585689653	-0.080423362	-0.0381140881	0.026973548	-0.059000826	0.0320785256	-0.0511727381	0.1404681533	0.0022969581	0.0375368489	0.0447102619	-0.0149679241	-0.1066757912	0.036448301	-0.0849694595	0.1568265645	-0.1711333601	-0.020131285	-0.0818984997	-0.1311732288	-0.0686660971	-0.0500391909	-0.1020253435	0.0759917887	0.1219847102	-0.0619251332	-0.0271712367	0.0775561216	-0.0399962308	-0.1270337047	-0.0208966372	-0.0524022943	-0.0444701079	-0.0738703111	0.0956752645	-0.0371554519	0.0695777226	0.0353353447	-0.0518934026	-0.056031498	0.0784211583	0.0028154665	-0.1287112816	0.0957297945	0.1176284904	-0.0497307076	-0.0323258406	-0.080197903	-0.0135861564	0.1261756376	0.1237128745	0.1196438145	0.1140212905	-0.017007390264851	-0.0129339320228183	0.0001672865975708	0.0002892513236209	0.0172405410963563	0.0224250016021585	0.0005028806968568	0.0002972362572951	-0.0677941409139961	0.0185528882381688	0.0003442096619779	0.0045960455422667	-0.0003469996447596	0.0012790093352041	1.6358648795392335e-06	1.204087534632886e-07	9.823040059142585e-07	-4.521440764371221e-05	2.044342658571781e-09	9.649211600351996e-13	0.0001020000580123	-0.000271037679965	1.0404011834512565e-08	7.346142396080977e-08	0.0	0.0	0.0
5277.13190598047	-3.257920501870103	10.614045996505546	27848121.153117068	13333.841901106958	0.778538570022647	0.6061223050129081	177791339.8437156	5137.591358789329	-5.466624859252079	29.88398735179281	26394844.969906785	6479.928509044377	6594.8027623664575	0.966658	22.710812	0.1201373988547317	0.0587233855181322	-0.0740646909	0.0580428812	0.0553726608	0.0118437955	-0.102974543	0.0404438936	0.1122983116	0.0787758981	0.0368138925	0.0565595074	-0.1526030733	-0.0456462295	0.0954737541	0.0772269173	-0.0750754402	0.0021178885	0.12610278	-0.1082050532	-0.0401952318	0.0131604823	0.1052507819	0.0135788284	0.0589657244	-0.042962977	0.133855427	-0.09252645	0.0874664792	0.1318540568	0.0906928854	-0.0269548636	-0.0583918154	0.1489515161	-0.0907383092	-0.0427952841	-0.0520437504	0.1528943003	-0.0339018883	0.0468836524	0.2180538476	-0.0255623351	-0.0674228825	-0.0659321434	0.0665880687	-0.1509610459	-0.0377575101	0.0697402111	-0.0491443042	-0.028751284	-0.0359757512	-0.1547350901	-0.0409382912	-0.0067122303	-0.0983238314	0.0612748912	-0.1042417756	0.1792296369	0.076589745	-0.0599431055	0.0062309233	-0.1482845666	0.0328085321	-0.0022190089	0.0580046211	-0.1742812863	-0.1474303366	0.0534775881	-0.0319902709	-0.0555342709	-0.0159275297	0.0833429915	-0.0642426466	-0.008154379	-0.0310369477	-0.1331968003	-0.0205964452	0.1291546679	-0.0201031912	-0.0764540717	0.151381221	0.0319852435	-0.065618432	0.0158832963	-0.0987242819	-0.0417197561	0.0607521209	-0.0977573635	-0.1321867614	0.1516787947	-0.1367140905	-0.0117923558	-0.0011160762	0.0423147508	-0.0636537963	0.0055349951	-0.0686836508	-0.057173338	0.0683027086	-0.1260399974	0.0560157865	-0.1025157943	0.1257691411	0.1221000468	0.1160639717	0.1077779285	0.0127946098766926	0.0298020001415436	0.0008881592124365	0.0001637020418967	-0.0285753785902898	-0.0458159196866461	0.0020990984967332	0.0008165522615783	-0.0446737340708836	0.0231204068431125	0.000534553212591	0.001995742515836	-5.100006775066043e-05	0.0002959995770089	8.761574958947116e-08	2.601006910571954e-09	-4.999385392778777e-06	-5.981689398693035e-06	3.5780608062436646e-11	2.4993854305529804e-11	-2.400011924865804e-05	-0.0001260001772609	5.760057239498062e-10	1.5876044669792852e-08	0.0	0.0	0.0
5284.722487488165	7.590581507694878	57.61692762495945	27928291.769763097	13302.781603269386	-31.06029783757185	964.7421017586706	176963998.3842824	5130.60956794447	-6.981790844859461	48.74540340136338	26323154.53868334	6465.66462434975	6540.976621461951	1.110817	26.097706	0.0596142804474474	0.0262519514661344	-0.064846834	0.0976204909	0.0949313163	0.0035655642	-0.1506365267	0.094699142	-0.1012221249	-0.0224914118	0.0901090753	0.1054231793	0.0546318845	0.0422219037	0.0841253604	-0.0004317158	-0.0692900277	-0.103164862	-0.1003465775	0.0446784799	0.0727483028	-0.0850703003	0.0457143151	-0.0962245508	-0.0810000146	-0.0224897363	0.0027885963	0.0316818449	-0.0488727077	0.0203735517	-0.0571612063	-0.0769014323	-0.0587443455	-0.0314070458	0.011266075	0.0336786543	0.1387991927	0.0343646418	0.0022335548	-0.0959082352	0.0417800239	0.106491499	0.0204192206	0.0687107422	0.1017474615	0.0333310657	-0.003573613	0.0662379585	-0.0409860224	-0.0403416585	-0.1166434664	0.0769197067	-0.1218554485	0.0006789542	-0.0259273497	0.069303175	-0.0470662549	-0.0276465732	0.0708751501	-0.1435036377	-0.037867765	0.0452907731	0.0415116719	0.1052132546	-0.0825600715	0.1037298127	0.0146917308	-0.0308352735	0.0351917506	0.0516962652	0.0969585906	0.1639235084	-0.0812213973	-0.0032835833	-0.0186277781	-0.0696086394	-0.0070385338	-0.009216071	-0.0963204839	-0.0489309623	-0.0344169822	0.0906035269	0.0539081924	-0.0516780983	-0.0960194848	0.0833550754	-0.035769186	0.0655542181	0.0281421045	0.0389695662	0.0129170626	0.1058839606	0.0742436584	0.0551434309	-0.0269600658	-0.0128313423	-0.0255018887	-0.0921794103	0.0478421923	-0.148999738	0.005136789	-0.1303023075	0.1252819198	0.12017379	0.1118139553	0.100428619	-0.0037423564126299	-0.0165369662893225	0.0002734712540541	1.4005231519152134e-05	-0.0182368854111274	0.0103384931791624	0.0001068844412155	0.0003325839894985	-0.03658600161841	0.0080877324524736	6.541141622279463e-05	0.0013385355144222	-7.002436103390192e-05	-1.902429328324149e-05	3.6192373492678725e-10	4.903411138206241e-09	0.0001949911217271	0.0001999905071198	3.9996202938066286e-08	3.802153755239272e-08	0.000250006850878	0.0002740069701266	6.250342548593452e-08	7.507981967799127e-08	0.0	0.0	0.0
5302.56981074935	17.84732326118501	318.5269475892356	28117246.5978704	13358.457325233088	55.67572196370202	3099.786016179451	178448382.11007357	5137.822599567351	7.213031622881317	52.02782519268589	26397221.064625014	6453.5423461123	6657.448738506407	1.016289	23.876865	0.0361385317899316	0.0166534680307387	-0.0032913944	0.099845737	0.1145406248	0.0626044271	-0.0605711538	0.034311746	-0.0056595083	-0.0586747498	0.0552771934	0.0463679509	0.0702676217	0.1778071895	-0.0842877911	0.0155962395	-0.1570706996	-0.0522387583	-0.0805552313	0.0595734436	-0.0111504602	0.0953315356	0.061775959	0.1822831091	0.0541774688	-0.0164080627	-0.0457366463	-0.148915961	0.1493602872	0.0222120098	0.0302018258	-0.0230964218	0.0862604011	-0.0445725895	0.1935209877	-0.0381236564	-0.1489040318	0.1138317802	-0.006704326	0.0074647971	-0.0320538188	0.0382485264	-0.0466749266	-0.0100537482	-0.0132588028	-0.0140269772	0.0222437546	-0.1204856477	-0.0585134105	0.0368762642	-0.0597358583	0.0290057661	-0.1174405684	0.1941310492	0.0055438133	0.0797645645	-0.0483352217	0.1639995914	0.0512798327	0.0298861898	0.021079498	-0.010468758	-0.0344242855	0.059125915	-0.0141016743	-0.1148609041	0.120984147	-0.1840707824	-0.1590691099	-0.0289946122	0.0853531545	-0.0124124795	0.0939132335	-0.0348752221	-0.082663427	-0.0555833125	-0.0704591979	-0.0328190821	-0.0559375336	0.0460025987	0.0321174823	0.0783036925	0.1293613282	0.0237670332	-0.0337218429	0.0085241736	-0.0644999288	-0.0154571748	-0.0458025699	0.1721675281	-0.1346154516	0.0370852908	0.0416825661	0.1965031827	-0.0026119732	0.0018658017	0.0908359838	0.0616918432	-0.0723307193	-0.084429982	0.0498294742	-0.0003604626	0.1247142864	0.1179390489	0.1069183059	0.092048776	0.000882635870667	0.0046249922832968	2.139055362055587e-05	7.790460801880931e-07	-0.0113396424869165	0.0068972429242109	4.757195995557733e-05	0.000128587491731	-0.0490027527802539	-0.0124167511618439	0.0001541757094151	0.0024012697800426	-0.0001400414302584	-7.001706922449807e-05	4.902389982788155e-09	1.9611602188818308e-08	0.0003549832341942	0.0001599921124671	2.5597476051685183e-08	1.2601309655897428e-07	0.000236025124158	-1.398172672e-05	5.5707859233799314e-08	1.95488682072762e-10	0.0	0.0	0.0
5309.85162200977	7.28181126042	53.024775232379504	28194524.247759786	13382.605073857783	24.14774862469494	583.1137636414564	179094118.5628441	5143.789858541853	5.967258974502329	35.60817966877858	26458574.10883802	6446.292266487255	6777.5596920128255	1.157782	27.201118	0.0619776145426601	0.0322763165273712	0.0624394886	0.0567397007	-0.0855737803	0.1206597307	0.0650096465	-0.0706923657	0.0387192349	0.0959896432	0.0275878993	-0.1015323391	-0.0311066766	0.0375806691	-0.271117965	0.0303946553	0.070810175	-0.0146066323	0.0720506759	-0.2135997486	-0.0143299987	-0.0137766709	-0.0864552602	-0.0005988131	0.0690838322	-0.1464179294	0.0121109081	0.0955983552	0.0026259724	0.0898277849	-0.0724468483	0.0637028738	-0.1018993231	0.0386558213	-0.1078866899	-0.1243074456	-0.1040353113	-0.0027276263	0.0640597775	0.0247414387	0.0676954946	0.1274343746	-0.0852250808	0.086962707	-0.042530994	-0.0148209148	-0.0218217049	0.0649594372	-0.085994985	0.1224904041	-0.0057208293	-0.041449038	0.0801160065	0.2156389438	-0.0147537118	0.0309480313	-0.0533374689	-0.0888298516	0.0421303932	-0.1003109822	0.2136018418	0.0310631373	0.123516924	-0.0608835806	-0.0559620289	-0.0763716117	-0.0074501676	0.0151775739	-0.047192799	0.0528307609	-0.195890345	0.0706356141	-0.176982039	0.1280019474	-0.0063764502	0.1094606279	0.0905298437	0.1176473065	-0.0029399817	0.0912274544	0.0999023306	0.0920088885	0.1424659457	0.0836373993	0.0094280821	-0.0636177712	-0.0317671009	0.072006185	-0.183555793	0.0118658605	-0.1705922021	0.086008072	-0.021540222	-0.0785498326	0.0677023609	-0.0007115931	-0.0288365845	0.0064626163	0.0115539942	-0.0707695561	-0.057162642	-0.0381073363	0.1240666051	0.1154015599	0.1014052916	0.082724388	0.0043974229443932	0.0035147870737261	1.2353728173632782e-05	1.933732855187576e-05	0.0080957458560959	0.0194353883430124	0.0003777343200437	6.554110096649394e-05	-0.0319971393065756	0.0170056134736783	0.0002891908896161	0.0010238169238044	-6.809387980863418e-05	7.194755044976581e-05	5.176450015721597e-09	4.6367764673927184e-09	0.0003259800806456	-2.900315354859999e-05	8.411829157636681e-10	1.062630129777119e-07	0.0005755109332045	0.0003394858090465	3.312128342379145e-07	1.1525061454395665e-07	0.0	0.0	0.0
5318.145694611284	8.294072601514017	68.79164031918549	28282673.62911253	13329.479042031362	-53.12603182642124	2822.375257621922	177675011.5319533	5149.145101328365	5.355242786511553	28.678625302484026	26513695.274533898	6440.484696318332	6748.301019828056	1.335172	31.368738	0.0269641726750205	0.0159811055103784	0.1016804712	0.1000552112	-0.1574019158	0.1739270951	0.075734889	0.0188733019	-0.1295520845	0.0860720532	0.0261424211	-0.1737787019	0.0915280128	0.0028036349	-0.0549275977	-0.1295059273	-0.2152707753	0.0322300184	0.0279341472	-0.0313018215	0.0092796872	0.031174076	-0.0883062486	-0.0157398463	0.1169777199	-0.0797729101	0.0272721801	-0.0834594643	0.0710898994	-0.0397732175	-0.2085656056	-0.0509274818	0.1337346054	0.0212540899	-0.1053600329	0.105255834	0.1202017146	0.1245917266	-0.0972726755	-0.1213583453	0.062781105	0.0095773254	0.0121204311	0.0219040174	0.0100618702	0.0489592925	0.1327485334	-0.0362863236	0.1588802516	0.1760197657	-0.0046783305	0.0756233848	0.0634960783	-0.0431856292	0.0095492527	0.217113339	-0.0962838715	-0.022636767	-0.1707974484	0.0435195735	0.0724998432	0.0735630795	0.0080165193	-0.0812267246	0.0865518561	-0.1326627781	-0.0397324411	0.0324568619	-0.0238786566	-0.0233904023	-0.0574392958	0.1146487966	-0.0451116976	-0.0857085941	-0.0260829836	0.0013496963	-0.2128345634	-0.0408128928	0.0755505041	-0.0273526848	-0.0256786821	0.2636376163	-0.0042335883	0.0191481907	0.1075418662	-0.0822678125	-0.1167160028	0.0931756568	0.0512872715	0.0686345085	-0.0594311796	-0.1176112879	0.0619054252	0.041439139	-0.0713274693	0.1288473802	0.101903364	-0.0164447704	0.0310248653	-0.0739423018	0.1836414013	0.017825104	0.1233392918	0.1125678367	0.0953067456	0.0725511359	0.0043114446559116	-8.59782884815993e-05	7.3922660902251105e-09	1.8588555020988698e-05	0.0091920127243128	0.0010962668682168	1.2018010463500894e-06	8.449309792392843e-05	-0.0182918262535025	0.013705313053073	0.0001878356058827	0.0003345909076883	1.7950833606145025e-05	8.60447134147792e-05	7.403692706631484e-09	3.222324271555056e-10	0.0001710053608097	-0.0001549747198359	2.4017163788215706e-08	2.924283342565568e-08	0.0005749980771502	-5.128560542999681e-07	3.306227887264274e-07	2.630213324321318e-13	0.0	0.0	0.0
