global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
4883.791985803678	n/a	n/a	23851424.16060023	11466.67862390082	n/a	131484718.663824	n/a	4765.806092120849	n/a	n/a	22712907.7076962	5565.327163640668	6307.707431369357	n/a	n/a	n/a	n/a	-0.0306612768	-0.1288447895	0.1827404057	-0.1171374341	-0.1370813361	0.1527343095	-0.0677741823	0.0885960074	-0.1210105694	0.1933333683	-0.0365042102	0.1478896437	-0.0404732955	0.191449029	-0.1071862796	0.0134901018	-0.1102112031	0.0913794332	-0.0040295286	0.0836784808	-0.0603494469	0.0382417058	-0.1065517129	0.067801792	-0.0147374252	0.1143151648	-0.0063903635	0.0413637694	-0.0106055481	0.0618207506	-0.0567667393	0.0621807785	-0.0443494144	0.1577937826	0.0080053842	-0.0679907359	0.0596791991	-0.0582432027	-0.1553239434	0.0303045704	0.0377626009	0.008035932	0.0197451705	0.0427322752	-0.0995498197	0.1575765893	0.1093485787	-0.0401706004	0.0017720971	-0.1452325922	0.0668542543	-0.2387856198	0.0966585904	0.0630061616	-0.0460092923	0.1261285378	-0.0796570786	0.0317941176	-0.0728389438	-0.2159339609	0.1152197608	-0.1212273488	0.0411456229	-0.122632615	0.133963484	-0.2077523324	0.0846351205	-0.0637220413	0.2315147474	-0.0531924934	0.0902104799	-0.0043491198	-0.0781266561	0.0717945501	0.1096229986	-0.222741393	0.0968547973	-0.0746569737	0.1400099898	-0.0882953206	0.0134642092	-0.0105748242	0.140067745	-0.1226839475	0.002811522	-0.0835876138	0.0307136934	-0.0441642508	0.0623967027	-0.2975423585	0.0027544024	-0.0391927054	0.2367022332	-0.0231035826	0.0179068857	-0.0412444253	0.0507147348	-0.0575214956	0.1269899372	0.1269593695	0.1269084288	0.1268371232	0.2028143128680426	n/a	n/a	0.0411336455041362	0.1222495141358734	n/a	n/a	0.0149449437064571	-0.3657309385213665	n/a	n/a	0.1337591193917195	0.0102584736562009	n/a	n/a	0.0001052362817549	0.000936104740298	n/a	n/a	8.76292084808386e-07	0.0026472717460123	n/a	7.008047697235012e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4861.123104818369	-22.668880985308533	513.8781651260828	23630517.84019898	11317.02516263269	-149.65346126812983	128075058.53166148	22396.158469531634	4768.595592658329	2.789500537480308	7.781313248602926	22739503.92632044	5563.203918902002	6198.790214852541	1.202187	31.647413	0.0870213809829001	0.0615682701240741	-0.06096838	-0.1572135511	0.1252808071	-0.0026197277	-0.163558659	0.0399634532	-0.0968407121	0.0631800109	-0.0409827049	0.1154171936	-0.1168079529	0.1432116958	-0.043830682	0.1186416987	-0.0506982102	0.0095085759	-0.0209545417	0.1751440869	0.0658288648	-0.0953245183	-0.0430125892	0.0696352406	-0.0577969047	0.2450661325	-0.0207323486	-0.0739457922	0.1111579115	0.0299446438	-0.1336713314	0.0164926535	-0.060115631	0.0108995651	-0.126802428	0.0314527247	-0.0061396528	-0.0283052608	0.0265255582	0.0138694922	-0.0167659711	0.1067868874	0.0123937544	0.0290525868	-0.0830276419	-0.0084442245	-0.058759542	-0.0157348222	0.1758641141	0.0017245361	-0.0239828892	-0.0774624956	0.0153038443	-0.1491274711	-0.03109359	-0.037679351	-0.0526948831	0.1315302708	-0.1799401924	0.0240388326	-0.0752225613	0.0052107086	-0.0218891317	-0.1971305443	0.0078047241	0.1033842197	0.069407042	-0.0623741339	-0.024296491	-0.0141766994	-0.1291219045	-0.1002127471	0.0461930385	0.1004466839	0.0663061397	0.0637109546	0.1223819597	-0.2243744394	0.0764316939	-0.0946152446	0.0766740914	0.0299679963	-0.0337931885	0.0845946909	0.0671771912	0.0259266355	-0.0681776199	-0.0523885796	0.00033782	-0.1107981395	0.0356635813	-0.1261382279	-0.0014844928	-0.1065364623	0.0757842962	-0.0567820238	0.0254337967	-0.0553323922	0.0656629212	-0.0399626241	0.1269084288	0.1266334666	0.1261756376	0.1255356027	0.1994959440324919	-0.0033183688355507	1.101157172875411e-05	0.0397986316854151	0.1241213182779006	0.0018718041420272	3.503650746110183e-06	0.0154061016510439	-0.3381219482066342	0.0276089903147322	0.0007622563461989	0.1143264518590498	0.0093293521861503	-0.0009291214700505	8.632667061089859e-07	8.70368122132274e-05	0.0010109993080968	7.48945677988001e-05	5.609196285769065e-09	1.0221196009722084e-06	0.0025668434300499	-8.042831596240035e-05	6.588685194390335e-06	6.468714008547703e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4856.657873888936	-4.465230929433346	19.938287253168184	23587125.7040074	11256.041245806911	-60.98391682577858	126698464.5273064	3719.03811141348	4763.856151044142	-4.739441614186944	22.462306814286947	22694325.42784111	5548.169957472661	6192.766674842364	1.0558	27.793772	0.1437783232621004	0.0762174080447949	-0.0561126049	-0.1373009791	0.0905833584	-0.114727748	-0.0928818917	0.1340183604	-0.0721586208	0.0461403463	-0.0689943992	0.0835950083	-0.0799813595	0.1169269875	0.0112728906	0.0544997152	-0.0189310622	-0.0606887889	-0.084164452	-0.0037696391	0.0667152579	-0.028435558	-0.1039837341	-0.1083094725	-0.0833034642	0.0093464994	-0.130673486	0.0480168328	0.0788898905	-0.0107203488	0.1025995345	-0.0650279834	-0.0166923877	0.0360403094	0.0799185872	-0.0075260629	-0.0469277451	0.0704576746	0.1696724926	-0.0489773133	0.1512768238	-0.1024244725	0.0100443174	-0.1314613075	0.1441488057	-0.0531276694	-0.1125570453	-0.1919172687	0.1207322737	-0.0090796032	0.0336679626	-0.1373210246	0.0495254435	-0.0889209806	0.0816013118	0.0329393995	-0.0668346468	-0.0244699191	-0.0887073588	-0.0713865273	-0.0733474496	-0.1074487442	0.0546268757	0.0311316403	-0.1119087783	-0.0265313861	-0.008312348	-0.0018211753	0.0026702782	0.1787120898	0.0337595991	-0.0859886299	0.0253629878	-0.180958774	0.1555511524	-0.0674671481	0.1235561934	-0.1528963304	0.0612410523	-0.0646644271	0.0610338478	-0.0341683442	0.003176449	-0.0701254731	0.0616676261	-0.070543999	0.0276778218	-0.0145246315	0.0513783615	0.0436767107	0.0138424397	-0.0375549522	0.0188691086	0.0709684287	0.085965611	0.0529930532	-0.0302204434	-0.0494263172	-0.0494879549	-0.0506563846	0.1267454643	0.1259824975	0.1247142864	0.122945917	0.2163494918999475	0.0168535478674556	0.0002840420757206	0.0468071026453654	0.0980850139436029	-0.0260363043342976	0.0006778891433881	0.0096206699603167	-0.3263405082883821	0.011781439918252	0.0001388023265473	0.1064981273499196	0.0081551195050474	-0.0011742326811029	1.378822389370106e-06	6.650597414160455e-05	0.0014586450500635	0.0004476457419666	2.003867103009173e-07	2.12764538207475e-06	0.0027271056298222	0.0001602621997723	7.437105116207939e-06	2.568397267585668e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4842.295362008199	-14.362511880736747	206.28174752430425	23447824.37292612	11210.302665402536	-45.73858040437517	125670885.8499312	2092.0177374074924	4754.953471136637	-8.902679907505444	79.25770953550115	22609582.51267435	5535.616784653136	6119.422920132861	1.047319	27.570513	0.1033971604966243	0.0571787586100335	-0.0776959221	-0.0932691493	0.1191671295	-0.0195810478	-0.1044915238	0.000762951	-0.0763424556	0.0874130113	-0.0841492467	-0.0064712024	-0.038996608	0.1245393404	-0.0152609095	0.0321326517	-0.0133847737	-0.053546798	-0.058023519	0.1090394156	-0.000374465	-0.0081875898	-0.095390485	-0.0189126983	-0.0518728809	-0.1606698301	-0.0051458415	-0.0403205826	-0.1801364719	0.0170417402	-0.069622479	-0.0355923894	0.0453012716	0.0536517261	0.0095146095	-0.0302596545	-0.0923283522	-0.0238055849	-0.0360454617	0.0333925984	-0.0255330287	0.0011364187	-0.1523594882	0.0591258167	0.0716791924	0.0719115868	-0.0799031923	0.1427101238	0.1300910129	-0.0601783331	-0.0216734907	-0.0675413828	-0.015376922	-0.0635848577	-0.0418106611	-0.0364553783	-0.0034675663	0.0417556218	-0.1146781911	-0.0571900734	0.0375085579	0.0822115301	0.0713989902	0.1028042062	0.0170103742	-0.0633441039	-0.0159812023	0.1364239503	0.0001281859	-0.0750140188	-0.0225981128	0.0868154074	-0.1117096937	-0.0519743112	-0.0988697395	-0.0135513921	0.12741124	-0.128300904	0.0290653752	-0.0397987961	0.0219700003	0.0537552758	0.0271850343	0.077493131	-0.0368968892	0.0077954237	-0.0767324801	0.0773915293	-0.0670078586	-0.0035760961	-0.0318744826	0.1277852484	-0.1074396507	0.092971342	-0.160509418	0.0571103893	0.0136677093	0.0258758385	0.1210239544	-0.0200674536	0.1265011483	0.125008133	0.1225328133	0.1190946399	0.2164733676881809	0.0001238757882333	1.5345210910443872e-08	0.0468607189182623	0.1267949149573439	0.028709901013741	0.0008242584162188	0.01607695045904	-0.3060899264340122	0.0202505818543698	0.0004100860654405	0.093691043064379	0.0074330421722065	-0.0007220773328409	5.213956746026286e-07	5.525011593380032e-05	0.001118745482753	-0.0003398995673104	1.1553171585786503e-07	1.2515914551802431e-06	0.0027513847664764	2.427913665419999e-05	7.570118133198395e-06	5.894764766733173e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4848.785853462852	6.490491454653238	42.12647932292671	23510724.25274148	11125.05688148122	-85.24578392131662	123766890.61619264	7266.843676359802	4748.993895556084	-5.959575580553064	35.5165411003244	22552943.02002895	5516.885200287273	6137.186712131579	0.955758	25.160204	0.0883988115719436	0.0501282237726665	-0.0589893065	-0.1079537224	0.0894411138	-0.011666417	-0.0885716779	-0.0013892719	-0.1010459467	0.0375683766	-0.0763781476	-0.0730545817	0.0307086297	0.1645442833	-0.0403851601	0.0550714096	-0.0352560257	0.0041274292	-0.0969357336	0.0388580355	0.1087110127	-0.1871199136	0.0542610587	-0.0377471167	-0.0893601827	-0.012349754	0.0869022425	-0.1132035471	0.0072224677	0.0693790877	-0.022794841	0.0543028087	-0.0738715176	0.0403444466	0.1404368804	0.036682362	0.0988390788	-0.0144316087	-0.1150425696	-0.0066038645	-0.0049320733	0.0537635364	-0.0774672474	-0.0447478474	0.0319048303	0.0117637948	0.0445608961	-0.1086564535	0.1130779636	-0.1077993867	-0.060936704	-0.0480237574	0.0127753105	-0.0622771041	0.0722037541	0.0519049265	-0.1608296297	-0.0306610524	-0.1017791061	-0.0081913938	-0.1121577969	-0.0115085244	-0.018709032	-0.0803852751	0.0835276502	-0.0127981946	0.0105578262	0.1255495384	0.0143045549	0.0306954245	-0.084949976	0.103353926	0.0060188059	-0.0408627799	-0.0532672672	-0.0768865337	0.1310265952	-0.1913027182	0.071867588	-0.078206749	0.0475100637	-0.0166335067	-0.0356976749	-0.0143391413	0.0355678334	0.0373115803	0.0417661235	0.0087185951	0.1262112879	-0.0003990138	0.0141541434	0.0112272948	-0.0390505034	-0.0294523451	-0.0166477517	-0.0618674066	0.0400154129	-0.0425135285	-0.0602143633	0.0271383047	0.1261756376	0.1237128745	0.1196438145	0.1140212905	0.2204852828513708	0.0040119151631899	1.6095463276633128e-05	0.0486137599540489	0.1140696428883956	-0.0127252720689483	0.0001619325492287	0.0130118834286861	-0.3373958791164426	-0.0313059526824303	0.0009800626733545	0.1138359792447571	0.0079908794107612	0.0005578372385547	3.111823847183339e-07	6.385415375732727e-05	0.0008978935382015	-0.0002208519445515	4.877558141217885e-08	8.062128059440087e-07	0.0027229605164351	-2.842425004130015e-05	7.414513974064506e-06	8.079379904103514e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4854.693718632214	5.907865169361685	34.902870859356966	23568051.101727072	11132.429032261596	7.372150780376614	123930976.15834086	54.348607128607526	4760.442944660839	11.449049104755431	131.08072540310116	22661817.02937116	5529.4320485148655	6203.074986398956	0.925286	24.358032	0.0362519774980516	0.0198550273547931	-0.017179918	-0.0842396291	0.1881394472	-0.0527898037	-0.0759948712	-0.0173048714	-0.0747811525	0.1154944997	-0.1100432905	-0.0061008819	-0.0273092334	0.190599599	-0.0758378553	0.1651727603	0.036025983	-0.0260391881	-0.077405896	0.0535219922	0.0533394876	-0.0310405634	-0.0148445069	0.0751886889	0.0166255653	0.004927939	0.1158032372	-0.0480868628	-0.0260398313	0.0231465894	-0.0672920284	-0.0758547564	-0.0195056381	-0.002553586	0.1515867726	-0.0883167003	0.0239095466	-0.1199410125	-0.1292554507	0.0186330506	0.073410527	-0.1207076009	-0.007498106	-0.1011819371	-0.1199333428	0.1075692106	0.0234793691	-0.0598637423	0.1034200394	-0.0879307126	-0.1041439421	-0.1432397685	-0.019458477	-0.0924017868	-0.0150478111	-0.0324815126	-0.0814240132	0.0674987356	-0.048574762	0.0338071319	-0.0183002949	0.0790159721	-0.0772964779	0.0321463122	0.0107350325	0.1519192025	-0.0896442373	0.1591276092	0.0130216787	-0.043917505	-0.0977222882	0.1662467102	0.0126788765	0.0309925504	0.0080326731	0.0982588432	0.1534049419	-0.1738065566	0.0670065058	-0.0672288912	0.0492277231	0.0510259487	-0.0087430728	0.1042789869	0.0138844188	-0.0404699105	-0.0458783244	0.0384987673	-0.0288572455	-0.0385098377	-0.0765739358	0.1207212758	0.0320200343	-0.0285521266	-0.0441815567	-0.0088697134	0.0364068312	0.095228566	0.0643458576	-0.0401611688	0.1257691411	0.1221000468	0.1160639717	0.1077779285	0.2153677318200237	-0.0051175510313471	2.6189328558441944e-05	0.0463832599093016	0.1143078953874408	0.0002382524990451	5.676425330127751e-08	0.0130662949479061	-0.340901446998572	-0.0035055678821294	1.2289006176217294e-05	0.1162137965657202	0.0082271069907612	0.0002362275799999	5.5803469552656276e-08	6.768528943743181e-05	0.0011324048568071	0.0002345113186055	5.4995558554137176e-08	1.2823407597203085e-06	0.0026458872933301	-7.707322310499974e-05	7.000719569005684e-06	5.940281719793066e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4847.009813616229	-7.683905015985147	59.0423962946817	23493504.133292027	11143.232212768007	10.80318050641108	124171624.14767058	116.70870905410038	4752.516964872527	-7.925979788312361	62.82115560473606	22586417.50140117	5523.400837672292	6149.088238374687	1.132872	29.822689	0.1478862051760827	0.0818172504919368	-0.028627379	-0.1685060307	0.0466028176	0.0830657165	-0.1803222678	-0.0700689444	-0.0588495589	-0.0078054616	-0.0117337303	-0.0236601454	-0.0755953093	0.14911956	-0.0310763626	-0.080686111	-0.0112507473	0.0383671907	-0.0797214395	-0.0505916634	0.1330714342	-0.0480728279	0.0384954259	0.0032291039	0.0032449808	-0.0709578009	0.1035520835	0.0513393885	-0.0101671101	0.1464674964	0.0571372083	-0.0711393662	0.1100672162	0.0229653597	-0.0366246684	-0.0052062615	-0.033821319	0.0211446263	-0.0314794132	0.0679429367	-0.0545258842	-0.0818968572	0.06228707	-0.0395629042	0.0323290939	0.1697566787	0.0217046476	0.0412091254	0.1774990914	-0.0119128613	-0.0876917261	0.0460178235	0.0328561512	-0.019339818	0.0982438993	0.0116992382	-0.0759681518	-0.0658060543	-0.1231166776	0.0874455838	0.0119138734	0.05537353	0.043761975	0.0908325565	-0.038587692	0.0738356716	-0.1904003528	0.1194477815	0.019170719	-0.0855908627	0.0855143676	-0.0233133962	0.0622845858	-0.0197666022	0.0505029564	-0.0336214706	0.1291210872	-0.113930857	0.0497008559	-0.0337165931	0.0196241892	-0.0241024532	-0.0280716579	0.0042379152	-0.0093430666	0.0817642925	-0.0811412479	-0.0145848309	0.0750013108	0.0294649669	0.0246489871	0.0465934472	-0.0817337975	0.0813673005	-0.0253737783	0.0092985927	-0.0842381302	-0.0296511899	-0.1712393793	0.1305180645	0.1252819198	0.12017379	0.1118139553	0.100428619	0.2287774001397338	0.0134096683197101	0.0001798192044446	0.0523390988146958	0.0804765667428739	-0.0338313286445668	0.0011445587978566	0.0064764777947202	-0.3153254835448962	0.0255759634536758	0.0006541299065837	0.0994301605728226	0.007056743142621	-0.0011703638481402	1.3697515370335377e-06	4.9797623780928506e-05	0.0013103996128864	0.0001779947560792	3.168213319172949e-08	1.7171471454528266e-06	0.0027989135842732	0.000153026290943	7.83391725222905e-06	2.3417045719802165e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4839.478977311902	-7.53083630432684	56.71349544256714	23420556.77184385	11174.46382230066	31.23160953265324	124868641.71590628	975.4134340001166	4758.27235662076	5.755391748232796	33.12453417562616	22641155.81978128	5526.548562625779	6142.37583059931	1.226823	32.295952	0.0705470334421775	0.0447013256309779	-0.0617005697	-0.0892697142	0.01093362	-0.1308436977	-0.0280144283	0.0660742444	-0.0347773317	0.1460670391	-0.0345059261	-0.1573274306	-0.0354877355	0.1289309494	0.07603293	0.0086695388	0.0250479321	-0.150418136	0.1142955248	-0.0473035091	-0.1045166517	-0.0129292135	-0.0653168766	-0.0214548274	0.1274412982	-0.1127094247	-0.1854617276	-0.020966557	-0.1228317446	0.0909124278	0.1213620358	0.0452457472	0.1174284082	0.0565107324	-0.0785561732	-0.0925288868	0.0997519258	0.1077414505	0.013207516	-0.0346574617	-0.0756418029	-0.0776821691	-0.1301251459	0.0160057725	-0.0601353506	-0.0576677447	0.1395854863	-0.0567980952	0.0998572302	-0.0507219539	-0.0052488017	-0.1413554341	-0.0281469171	0.1086998418	-0.098397301	0.019023691	0.0220022603	-0.0800299506	-0.0122582292	-0.1418149	0.0208979599	0.0270570702	-0.0810038913	0.365015308	-0.0422689976	-0.1568378665	-0.1018369504	-0.0352428872	0.0752460917	0.0810458247	-0.0556550163	0.0558697034	-0.0424314818	-0.0014828451	0.097935948	-0.0232346613	0.1554215679	-0.0663607033	-0.0014204649	-0.0149205297	-0.0185708595	0.1741726092	-0.0022073687	-0.0414193877	-0.01485244	-0.0051596317	0.0429181768	0.1290500071	-0.0271149605	-0.0146991735	-0.0250535868	0.2099762696	0.0664522983	0.0391295941	-0.1980775924	-0.0764892759	0.0121403665	0.1636010131	-0.0525441146	0.0703189663	0.1247142864	0.1179390489	0.1069183059	0.092048776	0.2312748625638221	0.0024974624240882	6.237318559732998e-06	0.0534880620539148	0.1106732169675268	0.0301966502246529	0.00091183768479	0.0122485609539412	-0.3153516361841326	-2.6152639236387557e-05	6.839605390286378e-10	0.0994466544440095	0.0064201464848456	-0.0006365966577753	4.052553046908095e-07	4.1218280886875314e-05	0.001309380032284	-1.0195806023998149e-06	1.0395446047899693e-12	1.7144760689440492e-06	0.0029178327089794	0.0001189191247062	8.513747717590063e-06	1.4141758220888773e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4844.396190714125	4.917213402222842	24.17898764299993	23468174.452605523	11223.13334484699	48.66952254632997	125958722.0762164	2368.722424887721	4756.957238375007	-1.3151182457522737	1.7295360003105376	22628642.167728376	5518.991882324219	6037.6067484161	1.686394	44.394073	0.608997387519813	0.3228725073531634	-0.0518392543	0.172959101	-0.1285008466	0.0066686619	0.1282429406	0.0123229492	0.0750232558	0.1570644839	0.2429971542	0.0038230496	0.0219022331	-0.1794630673	-0.0616724381	-0.0235657542	-0.0564258033	-0.1965863729	0.1373810709	0.0954517642	-0.112870621	-0.0187458407	-0.0907233203	0.0565841429	0.1396834312	0.1674594845	-0.0399993397	0.0290405138	-0.0642954496	-0.0201747944	0.0508603965	0.0157620162	-0.0791823775	-0.1545276469	0.0375706289	-0.0648154199	0.2153198259	-0.1141716046	0.0903631706	0.0344494884	0.0649618777	0.0925673684	0.0056908418	-0.0573002575	-0.0961479034	-0.0287819471	0.0423780101	-0.0626266266	-0.0884870239	0.0675546766	0.1228471216	0.0317392363	-0.2132080752	0.0181730922	-0.2594221322	0.0430351742	0.0153093872	-0.0105805706	0.0857951078	-0.0989141465	-0.1343967429	0.0467404144	-0.2929237787	0.1449967016	-0.0969338716	0.0263454896	0.1058399139	-0.0195046043	-0.0333550414	-0.1240463813	0.0613319617	-0.063715756	-0.0506356985	0.0808746899	0.0307513239	-0.0235778607	-0.1891590045	0.0444069871	-0.0641808955	-0.0015710927	-0.1371797126	0.2107176061	0.0875007846	0.0968172787	-0.0947573655	-0.086030004	-0.0147052612	-0.147266339	-0.026681134	-0.0208650368	0.128983306	0.3855595501	0.3666498882	-0.0593973658	-0.0222747426	0.1621097046	-0.0363395206	-0.0421792984	0.1712497455	-0.1316504086	0.1240666051	0.1154015599	0.1014052916	0.082724388	0.1640058925922431	-0.067268969971579	0.0045251143210371	0.0268979328049783	-0.0106959420564862	-0.121369159024013	0.0147304727621961	0.0001144031764757	-0.1035423168322466	0.211809319351886	0.0448631877643092	0.0107210113749893	0.0037462388723606	-0.002673907612485	7.149781920105235e-06	1.4034305688785618e-05	0.0008011156835165	-0.0005082643487675	2.583326482280509e-07	6.41786338376109e-07	0.0019290058867852	-0.0009888268221941	3.721063711251956e-06	9.777784842906798e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4848.671344955833	4.275154241708151	18.276943790395197	23509613.811395805	11124.103636600512	-99.02970824647856	123745681.71782874	9806.88311538266	4749.581947123596	-7.375291251410999	54.394921043139625	22558528.672442373	5502.949248970931	6049.130339445891	1.28675	33.87352	0.0438067255835446	0.0230678509380255	-0.0294177748	0.073770899	-0.1034925577	0.1600001633	0.0311375671	-0.1459543384	-0.0054378031	-0.054412393	0.1285484045	0.005432855	0.0477762061	-0.0946125313	0.0101300663	-0.1259907227	0.0468014705	-0.0141561425	0.0484154703	0.0457563903	-0.0115437632	0.0667487209	0.1311218203	-0.0762654915	0.0596275755	0.0997498045	-0.028269694	-0.0394591134	-0.0914871226	-0.215828991	0.0522069066	0.0134368652	-0.0908685889	-0.0110960412	-0.161572033	-0.1006909696	-0.0277627179	0.0609903086	0.1253072416	-0.1897767809	-0.0289340999	-0.0796564602	0.1655023481	-0.0999000096	-0.130678938	-0.036590122	-0.0259683315	-0.0409379028	-0.0331009373	0.0008322402	0.0293807626	0.1646336163	-0.0464028352	0.0991421249	-0.0387321694	-0.0427969925	-0.0357013843	0.0148247202	0.1779145271	-0.1204081327	-0.0922882259	0.0667209069	0.0703852542	-0.121679637	0.051990995	0.0094120142	0.0370083539	-0.114366313	-0.0442245147	0.1286412876	0.063743246	0.0001116331	0.0053708707	-0.0686187724	0.0855020749	-0.1442779372	-0.1347579232	0.1200036407	-0.0390332719	0.0214662205	-0.0939629567	0.0294811782	0.0719724113	0.0098847024	-0.1483885638	0.0857160124	-0.0922072291	-0.078899919	0.0237129839	0.0477617579	0.0250596375	0.0275927923	0.1635859459	-0.0084003756	0.2729506331	0.099871877	0.0356292808	-0.0635274007	-0.1903505152	0.1105691406	0.1233392918	0.1125678367	0.0953067456	0.0725511359	0.1783504419684618	0.0143445493762187	0.0002057660968067	0.0318088801503456	-0.0122882004756945	-0.0015922584192083	2.5352868735397173e-06	0.0001509998709308	-0.1085166219586142	-0.0049743051263675	2.4743711490206937e-05	0.0117758572413087	0.0033867462521668	-0.0003594926201937	1.2923494397380364e-07	1.1470050176565866e-05	0.0008221400886576	2.1024405141099943e-05	4.420256115371097e-10	6.759143253779263e-07	0.0018516106588851	-7.739522790010012e-05	3.428462032096914e-06	5.990021301708436e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
