global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
5656.09237642358	n/a	n/a	31991380.970636945	9707.918326280382	n/a	94243678.22973049	n/a	5696.573856818281	n/a	n/a	32450953.7061855	6367.289604976858	7094.182207808651	n/a	n/a	n/a	n/a	-0.0589533089	-0.0086541545	0.0622041348	-0.0212773915	0.1099360272	-0.0823420124	0.116552125	-0.1098739653	0.171762184	-0.0434600362	-0.0098783546	0.1652585705	-0.0688712975	-0.0605855507	0.0025315412	-0.0547502866	0.0245612779	-0.115286797	0.0151203487	-0.0483787257	0.0760749906	-0.1420890061	0.034200717	-0.0251357274	0.043511471	-0.0051030356	0.0659332691	-0.0767905036	0.2416284145	-0.0045871788	-0.0475672001	0.0705417556	-0.1641085363	0.0280972167	0.0700950982	-0.1922508252	0.173912474	0.0383027662	-0.2336109742	-0.0098706996	-0.0694329327	0.042785508	0.1092783564	-0.0090039915	-0.0460215457	-0.0191941556	0.0817735796	0.129473402	-0.0369013466	-0.0651670934	0.0534442781	-0.119844549	0.0522400249	-0.0602997532	0.0618607413	-0.0286535526	0.1214426758	-0.097499026	0.2631869775	-0.0720897096	0.1609861802	-0.0111223177	-0.0832394334	0.0173054086	-0.2296354927	0.1497399982	-0.0867895826	0.0101140922	-0.0437510707	0.0001383291	-0.0430060643	0.0306139305	-0.0143971441	0.0932663903	0.0400844883	-0.2726481075	0.2469591633	0.0503153102	-0.1735282276	0.1348144711	0.1299249542	0.0283077098	-0.0111683428	0.0417433976	-0.1045329213	0.0459152946	-0.0540007249	0.1290712208	-0.1042043167	0.0448500696	-0.1037731426	0.0207685579	-0.1621151801	0.031733652	-0.190435639	0.0252187104	-0.0736355282	0.1308789255	-0.0278329734	0.1081231651	-0.2244394208	0.0298538443	-0.0443270068	0.0064454802	-0.0634524618	0.1269899372	0.1269593695	0.1269084288	0.1268371232	-0.0881122923771329	n/a	0.0077637760679533	n/a	0.0472749238449097	n/a	n/a	0.002234918424542	-0.0635030301550472	n/a	0.0040326348388728	n/a	-0.0014060012532046	n/a	n/a	1.976839524012905e-06	1.0111224553188691e-06	n/a	n/a	1.0223686196500586e-12	-0.0035720061673885	n/a	1.2759228059861482e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5670.102195407238	14.00981898365717	196.2750279548408	32150058.90636197	9704.665021701388	-3.2533045789932657	94180523.1834344	10.58399068369855	5708.431452564648	11.857595746367224	140.60257688426609	32586189.648629334	6379.257944916431	7176.481911363171	1.233655	30.407936	0.1037378410535803	0.0557859519297838	-0.154225282	0.0541814453	0.0652802042	0.0134757748	0.1796228359	-0.0468001458	0.1068543717	0.0283851352	0.1102053121	0.0888504951	-0.1226744155	0.0842513273	-0.0446817014	-0.0025635116	0.0786801826	0.0046763254	0.0182587955	-0.1351392056	0.0276368614	-0.0545076743	0.0272918353	-0.0015124009	0.0007423235	0.0371024531	-0.0155754778	-0.1413356991	0.1193565068	-0.0605940614	0.064210794	-0.0310162135	-0.0593408327	-0.0086787462	-0.0239184549	-0.0858669273	-0.1244326761	-0.0157729904	-0.0497627173	0.0269554383	-0.0206086846	-0.0887908354	0.1150337993	0.0559025295	-0.002015625	-0.0398331235	0.0308036279	-0.0917619972	-0.1274075173	-0.0441086714	-0.0094467974	-0.1640398463	0.0210746012	0.017624802	0.0118136206	-0.0116828773	0.0168164821	-0.0245700433	0.0096895439	0.0860780372	0.284469179	-0.1406472251	0.0508051465	-0.0836446118	-0.0272506196	-0.0298176586	-0.0641181505	-0.0069851814	-0.0055843004	-0.0818396804	0.0221000432	-0.0264521655	0.0711454656	-0.1137454791	-0.201965214	-0.00382111	-0.136579154	0.0134948991	-0.0209580801	-0.0554847087	-0.1820400483	-0.0339846911	0.1404970376	0.0112030139	-0.0282958135	0.0218820904	-0.2162807191	0.0305618759	-0.0854208769	0.010188164	-0.0484082558	-0.0709175252	-0.1226795841	-0.0261404325	-0.0834778038	-0.01539586	-0.1099441079	0.0167287889	-0.0519064115	0.1145671406	-0.0451475717	0.0993315048	-0.0966507845	-0.0526219214	-0.0679816608	-0.1323510351	-0.1259146438	0.1269084288	0.1266334666	0.1261756376	0.1255356027	-0.0680631969334086	0.0200490954437242	0.0046325987767959	0.0004019662281115	0.019923072917507	-0.0273518509274027	0.0007481237491548	0.0003969288344763	-0.0682508563804518	-0.0047478262254045	0.004658179396665	2.254185386663964e-05	-0.0011874192846637	0.0002185819685408	4.7778076971214936e-08	1.409964557591253e-06	6.0173784043993095e-05	5.916266158867423e-05	3.500220526255989e-09	3.620884286173118e-09	-0.0028179694283771	0.0007540367390114	7.94095169926796e-06	5.685714037789466e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5648.493562233024	-21.608633174213537	466.9330276577218	31905479.52258792	9797.25672309028	92.59170138889203	95986239.2981377	8573.22316608975	5709.029165345364	0.5977127807163924	0.3572605682317222	32593014.010763984	6386.113267293155	7218.89039315831	1.390178	34.26601	0.0781926741077072	0.0544370965100678	-0.0943602621	-0.1577744235	-0.1385185524	0.0024825572	0.1197123652	0.2161051531	-0.0615045098	-0.1193143364	0.0323671499	-0.0175861314	-0.1032256584	-0.0681611825	0.06249865	-0.0430746642	-0.0585130991	-0.0966840293	0.0952560045	0.0628757741	0.016199864	-0.0858432836	-0.0363370064	0.1494823602	-0.148855515	-0.0555738695	-0.174502956	-0.0236241023	-0.1429138731	0.0951754023	-0.0402146181	0.0422818453	-0.0498423463	0.2210186476	-0.1086583624	-0.0815330678	0.0147057425	0.1083783776	-0.0885353264	0.0333192372	0.0506707134	-0.0475964666	-0.0303804466	0.0312890912	-0.0721850902	0.0298457102	0.0795807644	0.0552004901	0.285360163	-0.0280275928	-0.0103479734	-0.0716544178	-0.1873877083	-0.0606430496	-0.1196575609	0.0619509677	-0.0375607899	-0.0629243151	-0.0077188139	0.0693670509	0.063199036	-0.0433177033	-0.0216809833	-0.1013630664	-0.0202366789	-0.0321756886	-0.0252964699	-0.0419157608	-0.1184819641	0.0392030863	0.1312947841	0.0096994608	0.1562014457	0.0809754247	-0.0949713511	0.0464688736	-0.0963670353	0.0523150336	-0.0466993422	0.1595416014	0.1826612562	0.114383479	-0.0990476323	-0.0120713773	-0.0273015486	0.040779423	-0.1094747993	0.0409697621	-0.0752662647	-0.0022127651	0.114455436	0.1101736497	-0.041341412	0.0376981409	-0.1271875866	0.022406129	0.120528544	0.0271416516	-0.0855355677	0.0451644789	-0.0174227117	-0.0400829873	-0.0750946846	-0.1201230991	-0.0152798418	-0.1141966571	-0.0285700329	0.1267454643	0.1259824975	0.1247142864	0.122945917	-0.0658716059297717	0.0021915910036369	0.0043390684677671	4.803071127222208e-06	0.0722593776999929	0.0523363047824858	0.0027390887982852	0.0052214176655902	-0.0633573980351727	0.0048934583452791	0.0040141598857873	2.394593457698167e-05	-0.0012658084940171	-7.838920935339996e-05	6.1448681430511674e-09	1.6022711435258386e-06	0.0001481513654726	8.797758142860691e-05	7.740054834027161e-09	2.1948827091395892e-08	-0.002608909819633	0.0002090596087441	6.806410446977492e-06	4.3705920008236167e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5619.498659385529	-28.994902847494814	840.7043911356628	31578765.18283576	9608.260660807293	-188.9960622829876	92318672.926017	35719.51155847494	5695.159801074939	-13.86936427042474	192.3592652657344	32434845.159779944	6366.513608617858	7021.87206013209	1.228942	30.291759	0.0522262759786799	0.0252870454024155	-0.0245549385	0.0297166639	-0.0125703833	0.0350028359	0.0252424918	0.0461597811	0.0132771942	-0.0160543514	-0.0279323779	0.0596123566	-0.0449135054	-0.0933161408	0.0482189031	-0.1348861238	0.034827244	0.0412431705	0.0134829272	-0.0587038279	0.0845528989	-0.125910204	0.0445631071	0.0027246277	-0.0416174952	-0.0828168513	-0.0876393078	-0.046794601	-0.1153112433	-0.119140946	0.0026967305	0.0108604043	0.1763856248	-0.0642492555	-0.0028691617	0.0459046367	0.1179425142	0.056587032	0.0106997453	0.0087864087	0.0636163389	-0.2108167971	0.1529242319	-0.1809460991	0.0261856921	0.0869334315	0.1054434879	0.0396574159	-0.046188168	0.0937677513	-0.0010587534	-0.0013764233	-0.0618751329	0.0397298118	-0.0589353198	-0.0788338862	-0.0925027451	0.0493365698	0.0534923812	0.0254786848	0.0606449257	-0.0149653419	0.0936954558	-0.1370461949	0.0696790571	-0.0413658465	0.0439226213	0.0231115075	0.0103747752	0.0029910084	0.0225913303	-0.2065927418	0.1073795685	0.0257614708	0.0545066395	0.2237421287	0.0026597616	0.0783323035	0.0414569721	0.0337761353	0.0597753701	-0.064480517	-0.1971723761	-0.0111644092	-0.027653539	0.0437215244	-0.0518998911	0.085352497	-0.0104849793	0.0370566108	0.0452797937	0.058978425	-0.0108611002	-0.1226965119	-0.1498149346	0.0002677292	0.0094604043	0.1098609643	0.0567262233	0.0581221138	0.050726098	0.0026922405	0.0547881469	-0.100912565	-0.0252198764	0.0442392498	0.0162082668	0.1265011483	0.125008133	0.1225328133	0.1190946399	-0.074858097938403	-0.0089864920086313	0.0056037348269555	8.075703862119427e-05	0.0847519635352256	0.0124925858352327	0.0001560647008506	0.0071828953230762	-0.0461546299062618	0.0172027681289108	0.0021302498617839	0.000295935231297	-0.0013241433072653	-5.833481324820007e-05	3.402950436702378e-09	1.753355498175487e-06	0.0002677897712528	0.0001196384057802	1.4313348137627792e-08	7.171136158762696e-08	-0.0027018252007227	-9.29153810897e-05	7.299859415260258e-06	8.633268043044181e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5618.031137620098	-1.4675217654312291	2.1536201320143915	31562273.86326897	9581.847938368055	-26.41272243923777	91811809.91400816	697.6319066522143	5688.979939703572	-6.179861371367224	38.19068656931679	32364492.75434966	6357.712180075792	6932.7153246045855	1.016803	25.062815	0.0469125961769119	0.0226572372392003	-0.0152058729	0.1314049923	-0.0596238209	-0.0731808815	-0.0017645847	0.0853206476	0.1191411365	0.0275102847	0.0714314867	0.0790574399	0.0546078194	0.0172536624	0.0034087495	-0.0270473289	0.0158159519	-0.0665983945	-0.1245362278	0.0026273294	-0.0703650053	-0.089368937	-0.0135299353	-0.0274033504	0.0191052028	-0.1564433034	0.0164242415	-0.0020415445	-0.0930068217	0.0499132005	-0.0065237176	0.0862917957	-0.0160522261	-0.1101498267	0.028724262	-0.084776075	0.1748050227	0.0701268655	-0.0292338894	-0.1030413967	0.0306127312	-0.0932996058	-0.1011903345	-0.0226848914	0.0047556266	-0.136227641	0.0868241777	0.0210187481	-0.0872370109	0.0059937532	-0.091449256	0.0019879774	-0.035672267	0.000422138	0.0579190367	-0.0853271522	0.1563545457	-0.0528546637	-0.0327563013	0.0950721904	-0.0489412008	-0.0340698384	0.0489415329	0.0659656289	0.0829661286	-0.0396365274	-0.0250178712	-0.1024600518	0.0468387734	0.14403664	-0.0911648282	-0.0060300567	0.0780831364	0.0165491533	-0.0460016278	0.1152473877	0.1096326398	0.1033687821	0.0300409779	0.0902964523	-0.0479258249	0.0305100218	-0.1230455184	-0.0191124288	-0.0240618399	0.0587411352	-0.0380659283	0.0220863141	-0.0084031787	0.0073552615	-0.0567182625	-0.0153074541	-0.0395104617	-0.13717585	-0.1706350906	-0.0023839565	0.0646414461	0.040642129	-0.0067642019	-0.110599788	-0.0050331997	0.0419005665	0.0766563455	-0.0243622352	0.0145911574	0.0624830311	0.0142220912	0.1261756376	0.1237128745	0.1196438145	0.1140212905	-0.063966129289767	0.010891968648636	0.0040916656963151	0.0001186349810428	0.0673580106801239	-0.0173939528551017	0.0003025495959255	0.0045371016027836	-0.051379426135476	-0.0052247962292142	0.0026398454300108	2.7298495636810923e-05	-0.0014272902752315	-0.0001031469679661	1.063929700062028e-08	2.037157529770411e-06	0.0001549657903991	-0.0001128239808537	1.2729250655676066e-08	2.4014396194017796e-08	-0.002753891820782	-5.206662005930026e-05	7.58392016057e-06	2.710932924399528e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5613.5407050546255	-4.490432565472474	20.163984625055708	31511839.24730518	9612.083892144095	30.235953776040333	92392156.74961598	914.2129007468476	5688.035672233554	-0.9442674700185308	0.8916410549351969	32353749.808601413	6356.218397884782	7020.835147921864	0.984658	24.270485	0.0353375879963355	0.0197192323767951	-0.0002478495	0.0502446017	-0.1620031815	-0.059260259	-0.0172540428	0.0916361397	-0.004685335	0.0973893106	0.0919408703	-0.0385614182	0.1009162257	0.076269361	0.0019553078	0.0721022778	0.0286536159	-0.2244526797	-0.0387082807	0.0429813298	-0.1143733797	-0.0165420181	-0.1024007508	-0.2032504847	0.067427731	-0.129301108	-0.0244585372	0.0870399725	-0.0354916347	-0.0864780529	0.0412231516	0.0084030748	-0.0747957538	0.0628544694	0.1108918579	-0.1107059583	0.0691464691	0.0884261781	-0.053242761	0.1132143941	-0.1055123496	-0.0256160037	-0.1030912811	-0.0558275958	-0.0142951255	-0.0081212442	0.0830884388	0.1219191206	-0.0139199686	-0.0387622795	-0.1922334521	0.0253092799	0.0229750879	-0.0147591821	0.0712715857	0.0874522689	0.1866148646	-0.1867158595	-0.0704292894	0.0425942685	-0.0838855933	-0.0562614362	0.0272273197	-0.0144586588	0.0788254446	-0.0557221664	-0.089981319	0.0537020809	-0.0471450674	0.1007620999	-0.1344778343	0.0002435932	0.0810208988	0.0405810157	0.0409983846	-0.1014172492	0.164682132	0.0789995803	0.0827109776	0.1495104418	-0.007488463	0.0410117925	0.1083991878	-0.0247817313	-0.0247571022	0.0866989502	-0.041090801	0.0792929333	0.0448979552	-0.0105867529	-0.1405782376	-0.0106483342	-0.0475711246	-0.0142262641	-0.1535191554	0.0206823876	0.1292069348	0.0049801003	-0.0476693462	-0.1461057743	0.0196701222	-0.0114941023	0.0319984156	0.0127667522	0.0188479501	-0.0240243712	0.0131131643	0.1257691411	0.1221000468	0.1160639717	0.1077779285	-0.0645833987358628	-0.0006172694460958	0.0041710153922754	3.810215690834192e-07	0.0653984954681163	-0.0019595152120076	3.839699866089193e-06	0.0042769632094932	-0.0426610719257567	0.0087183542097192	0.0018199670578545	7.600970012613015e-05	-0.0016769073936775	-0.0002496171184459	6.230870582128434e-08	2.8120184069702656e-06	7.568156466364329e-05	-7.928422573545672e-05	6.285988450470857e-09	5.727699229937221e-09	-0.0026019441823932	0.0001519476383888	6.770113528289818e-06	2.3088084811933558e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5610.31382608982	-3.2268789648051097	10.412747853501696	31475621.2272146	9522.997616644963	-89.08627549913217	90687483.60662565	7936.364482307277	5688.111608526364	0.0759362928101836	0.0057663205657539	32354613.671052378	6352.094444231504	6824.469721913232	1.281135	31.578249	0.0905652820136988	0.0464998929999987	0.0600223028	-0.0554261252	0.0094587919	-0.0170171841	-0.0483243379	-0.0759060114	0.0051196899	-0.0027686671	0.0006541287	-0.009321438	0.0704552414	0.0415161498	0.0071427315	0.0572041752	0.0463483183	-0.0888222114	0.0216793628	0.0426141295	0.0260889599	0.0067016899	0.0968859676	-0.1953774613	-0.0467956784	0.066899551	-0.075331769	0.0053981828	-3.52291e-05	0.0392300659	-0.0054729835	-0.0150109722	0.0612264152	-0.0098994164	0.0640048177	-0.0083672477	-0.0779486825	0.1163458956	0.0774043349	-0.0337119107	0.007655497	0.1729364602	0.082338602	0.059395644	-0.0911536091	0.0469423133	-0.172216101	-0.0059541643	-0.0825250971	0.1134706125	0.0247212186	0.0382152791	0.0632172065	-0.0525130888	-0.0025333379	0.0525373364	0.0399313568	-0.0420746811	-0.0267175141	-0.045588816	0.060143311	0.045350234	-0.0943816533	0.012926067	0.0583190458	0.0189615643	-0.0196518102	0.0281709722	0.1294711733	-0.0442338984	-0.0243540714	0.1879954501	0.1153189719	0.017388245	0.0323956176	-0.1415980421	0.1447384502	0.0116917734	-0.0116843547	-0.0034068282	-0.0088720523	-0.059667973	0.0365687584	-0.0213900296	-0.0067044458	0.0654069973	-0.0090424293	0.0522168577	-0.0596760691	-0.0202728656	0.0085308481	-0.0220689398	-0.0229151624	-0.0254405093	0.051894605	0.0123246837	0.1492857658	0.0044766314	-0.0880746094	-0.0327359607	-0.0540560884	-0.0074197905	0.0259983048	-0.070954014	-0.0516961623	0.0136784602	0.0437019187	0.1252819198	0.12017379	0.1118139553	0.100428619	-0.0706037943793518	-0.0060203956434889	0.0049848957807617	3.624516370414128e-05	0.0366672793686149	-0.0287312160995013	0.0008254827785562	0.001344489376296	-0.0321651091804753	0.0104959627452814	0.0010345942485918	0.0001101652339503	-0.0009371206399823	0.0007397867536952	5.472844409428825e-07	8.781950938808355e-07	-9.078073773349792e-05	-0.0001664623023971	2.770969811935729e-08	8.241142343438132e-09	-0.0026020492768094	-1.0509441619992874e-07	6.7706604389443216e-06	1.1044836316403838e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5619.262806199256	8.948980109435979	80.0842449990808	31576114.48513434	9558.93161078559	35.933994140626965	91373173.539676	1291.251934898613	5694.01715470768	5.905546181315913	34.87547569965496	32421831.358105343	6361.855873637368	6948.844703964895	1.016411	25.053167	0.0452300147569917	0.0249355892811325	0.0344469228	-0.0658350223	0.0068139977	0.075226706	-0.0398556145	-0.0197545354	-0.1020481874	-0.0865449013	-0.0442512662	-0.0672164331	-0.0031854074	-0.0322408707	0.0477602811	0.0268868591	-0.04027899	-0.0260174706	0.1363031731	0.0872985616	0.0606470368	0.0670949561	-0.0784763095	0.0573397726	0.0119068047	-0.00388119	-0.0762805445	-0.1117868731	-0.1836424577	0.1077285617	0.0435010864	0.0143943742	0.0457068419	-0.0485991959	-0.0119048133	0.0754947966	-0.0408245863	-0.0154378822	0.0397058903	0.1249879298	-0.0428005028	0.1702784293	-0.1074145581	0.1214942247	0.0835521253	-0.1558043212	-0.0210248787	0.0534507824	0.029639231	-0.0138195715	0.158726575	0.0394640523	-0.0318159242	-0.0638309349	-0.0862068173	0.0467285748	-0.1241080272	0.0099063973	0.0001468169	-0.03150309	-0.0476700587	0.0101942486	-0.1188151174	-0.0485409328	0.0480761242	-0.0129406863	0.0531868326	0.0032170043	0.0798741526	0.1343852228	0.0705451269	0.124796905	0.0097333883	0.0798976074	0.1848326503	0.0442630317	-0.0599428962	0.0212369449	-0.0310101015	-0.0142233432	-0.0680114964	0.0571247938	0.0307376233	-0.0282255605	-0.0052352609	0.0532959045	-0.010748113	0.0575943733	-0.05429012	0.0150804741	0.0912601688	0.0446284659	-0.0040930275	0.0046557227	0.0828618585	0.0256183909	0.0478039188	0.073803197	0.0265032826	-9.43973e-05	-0.0224448046	-0.0261898891	0.0157713446	-0.0040266428	-0.0121140017	0.0002489329	0.0730132983	0.1247142864	0.1179390489	0.1069183059	0.092048776	-0.064332201705298	0.0062715926740537	0.0041386321762511	3.933287466924518e-05	0.0546176262484294	0.0179503468798144	0.0003222149531056	0.0029830850970131	-0.0321647359621479	3.7321832739578564e-07	0.0010345702395146	1.3929191990410785e-13	-0.0009169132622078	2.02073777745e-05	4.0833811652135657e-10	8.407299304125497e-07	7.408516926732389e-05	0.0001648659070008	2.7180767291203633e-08	5.4886123053680325e-09	-0.0023669685218888	0.0002350807549205	5.6025399836124514e-06	5.526296133403916e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5610.11076057005	-9.15204562920644	83.75993919907673	31473342.745863862	9632.138556315103	73.20694552951318	92778093.168052	5359.256873761109	5694.259037707565	0.2418829998850924	0.0585073856334116	32424585.98851428	6371.397762433118	6927.86902944803	0.884008	21.789606	0.0331223183729448	0.0177991846375371	0.0470949856	-0.0613122804	-0.04249887	0.0571452519	-0.0078587901	0.0281241288	-0.1116833845	-0.0889761533	-0.0035982062	0.0113409773	-0.0041396018	-0.0687394853	0.0186805432	0.001748324	-0.039679606	0.0227637158	0.1253407403	0.0147410753	0.0859278695	-0.074206976	-0.1286848296	0.1932237512	0.0235625653	0.021731425	0.1111260083	-0.0902079778	-0.0559034458	-0.1698406355	-0.1813130824	0.1761983057	0.0582867081	-0.0895453531	-0.0542315516	-0.0371089115	-0.0178578069	-0.0780508434	-0.0085939704	0.0218870946	0.014133106	0.0052369936	-0.1205526888	-0.023404257	0.0801328534	-0.0692974892	0.0648473694	-0.0318536819	-0.0985440504	-0.1671122076	-0.0301799159	0.0376990353	-0.0557592586	-0.0231526012	-0.1113959798	0.0145407438	-0.095013055	0.0257068208	-0.024446581	-0.0223987378	-0.0830866019	0.0107151636	0.0133491784	-0.1497939216	0.0912212545	0.0172137279	0.1639097562	-0.0369286706	0.1051165971	0.0075091091	-0.0296058997	-0.0625316189	-0.1569274702	-0.0047416236	-0.0361762851	-0.0048246024	-0.243762724	-0.0236582747	-0.0190579941	0.0002409919	0.0612802951	-0.06857435	-0.1286736883	-0.0456194042	0.0102736496	0.0530394683	0.029524887	0.0084033508	0.0082538849	0.0131172007	0.0800242347	0.0403359869	0.0507249878	-0.0029432518	0.0495969373	-0.0033193861	0.0315970413	0.0956307416	0.0475817812	-0.0374530735	-0.038069834	-0.0546367031	0.076302861	0.0008563567	-0.0053858723	0.0313667124	0.0584749784	0.1240666051	0.1154015599	0.1014052916	0.082724388	-0.0590479337125344	0.0052842679927636	0.0034866584757198	2.7923488219345875e-05	0.0549028229606989	0.0002851967122695	8.133716468933298e-08	0.0030143199690538	-0.0230202243425523	0.0091445116195956	0.0005299307287814	8.362209276091898e-05	-0.0009451592721421	-2.824600993430002e-05	7.978370772085752e-10	8.933260497161842e-07	-0.0001439390217055	-0.0002180241909728	4.7534547849354386e-08	2.07184419695364e-08	-0.0022450718818296	0.0001218966400591	5.040347754581902e-06	1.4858790857722136e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5603.757950360477	-6.352810209573363	40.35819755885956	31402103.16622825	9529.565589735244	-102.57296657985898	90812620.32906604	10521.213472992868	5688.189586906856	-6.069450800709092	36.83823302222824	32355500.776595585	6359.820359508874	6871.111531293952	0.97567	24.048946	0.0759164801882995	0.0390050939924689	0.0862197794	-0.0681750052	-0.0218624791	0.0433340041	-0.0543432225	-0.0558257857	-0.0737170293	0.0276432174	-0.0278143954	-0.010003577	0.0289105909	-0.0359017236	0.009352137	0.1144988624	-0.0124735695	0.0603794218	0.0250948112	-0.0266185987	-0.0013187932	-0.0533950843	0.1457751341	0.1573171842	-0.0430930962	-0.0127284022	0.1302403694	0.1110249989	-0.1137078153	0.0057084523	0.0223248114	-0.0907883872	0.029361174	-0.1200385508	0.0666715116	0.1812503136	0.0651420448	0.0184675456	0.0475720141	-0.085168303	0.0641537371	0.0330656659	0.0208838435	-0.0082173619	-0.1916915383	-0.0350384882	0.1302606944	0.0776473097	0.0015062187	0.0234395116	0.0704486903	0.0314700009	0.0601593229	0.0377392661	-0.036088511	0.0664314753	-0.0233343117	0.0051832351	-0.0340535918	-0.0970146777	-0.079347333	0.154452218	0.04448773	0.0729682491	0.0909337879	0.0675212952	0.0679569124	-0.0759119366	-0.0189206739	0.0371462039	0.0574710424	-0.1125632315	-0.0532022542	0.0690567589	0.101124289	0.1316022744	-0.0612121688	0.0048636981	-0.0191979417	-0.1507163484	-0.0030888154	-0.0060249849	-0.012096266	-0.0599239896	0.0062816934	0.0640674181	0.0208178795	0.0331117231	0.1028332005	0.0162879045	0.0053014093	-0.0425597543	0.0622390421	0.0772426157	0.0971510429	-0.026021044	-0.0014059561	0.0716871269	0.1345849851	-0.0399083868	-0.0101943944	0.0007049233	0.0901019955	0.0924345942	-0.0235584683	0.0322423898	0.0037688851	0.1233392918	0.1125678367	0.0953067456	0.0725511359	-0.0490893304755388	0.0099586032369956	0.0024097623665366	9.917377843189924e-05	0.0225202814851002	-0.0323825414755987	0.0010486289924188	0.0005071630781681	-0.0320291606022706	-0.0090089362597183	0.001025867128886	8.116093253166718e-05	-0.0010019731465706	-5.681387442850005e-05	3.227816327577372e-09	1.003950186448589e-06	2.699295687413894e-05	0.0001709319785796	2.9217741301150144e-08	7.286197208091246e-10	-0.001981489750518	0.0002635821313116	3.926301631407886e-06	6.94755399467656e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
